,ngram,weight
459,worst,-0.08913614
448,terrible,-0.088084539
369,rude,-0.083352518
97,bad,-0.075442594
142,nothing,-0.074970085
440,horrible,-0.074783622
98,wasn,-0.070088525
847,mediocre,-0.066989486
36,never,-0.066865622
499,bland,-0.063749448
363,cold,-0.062629036
416,okay,-0.061894909
86,told,-0.060152609
751,overpriced,-0.059232994
607,poor,-0.058346496
228,decent,-0.058204146
89,asked,-0.05794091
243,money,-0.056795345
49,said,-0.055132098
463,slow,-0.054380139
407,average,-0.053872676
676,dirty,-0.050021321
285,won,-0.048744508
77,think,-0.048335935
803,awful,-0.045876663
1154,greasy,-0.045065833
62,minutes,-0.044462954
63,still,-0.043427458
158,however,-0.042956538
